2011Zones,Public Transport Mean Indicator Minutes
North Castlehill and Thorn - 05,7.9
North Giffnock and North Thornliebank - 01,8.2
North Giffnock and North Thornliebank - 02,7.9
North Giffnock and North Thornliebank - 03,8.2
North Giffnock and North Thornliebank - 04,6.3
North Giffnock and North Thornliebank - 05,4.8
North Gorebridge - 01,9
North Gorebridge - 02,8.7
North Gorebridge - 03,8.2
North Haugh,9.1
North Inch - 01,6.4
North Inch - 02,4.5
North Inch - 03,5.3
North Kelvin - 01,8.9
North Kelvin - 02,9.4
North Kelvin - 03,5
North Kelvin - 04,8.9
North Kelvin - 05,7.3
North Kirkhill - 01,6.3
North Kirkhill - 02,5.8
North Kirkhill - 03,8.6
North Kirkhill - 04,10.1
North Leith and Newhaven - 01,6.4
North Leith and Newhaven - 02,5.7
North Leith and Newhaven - 03,3.7
North Leith and Newhaven - 04,4.3
North Leith and Newhaven - 05,3.6
North Leith and Newhaven - 06,4.4
North Mainland - 01,9.8
North Mainland - 02,24.3
North Mainland - 03,30.3
North Muirton and Old Scone - 01,12.9
North Muirton and Old Scone - 02,15
North Muirton and Old Scone - 03,14.2
North Muirton and Old Scone - 04,15.6
North Muirton and Old Scone - 05,13.6
North Queensferry,13.4
North Queensferry Ferryhills,15.3
North Speyside - 01,28.8
North Speyside - 02,7
North Speyside - 03,4.8
North Speyside - 04,6
North Speyside - 05,14.3
Northern and Irvine Valley Rural - 01,22.7
Northern and Irvine Valley Rural - 02,17.9
Northern and Irvine Valley Rural - 03,31.6
Northern and Irvine Valley Rural - 04,21.2
Northern and Irvine Valley Rural - 05,17
Northern and Irvine Valley Rural - 06,27.1
Northern and Irvine Valley Rural - 07,12
Northfield - 01,8.2
Northfield - 02,8.6
Northfield - 03,5.5
Northfield - 04,6.5
Northfield - 05,5.7
Northfield - 06,5.6
Northfield - 07,5.7
Northfield and Piershill - 01,6.2
Northfield and Piershill - 02,6.1
Northfield and Piershill - 03,5.1
Northfield and Piershill - 04,3.8
Northwest Lewis - 01,19.2
Northwest Lewis - 02,11.1
Northwest Lewis - 03,19
Northwest Lewis - 04,15.2
Northwest Lewis - 05,9.2
Northwest Lewis - 06,8.9
Nunholm - 01,6.9
Nunholm - 02,6.9
Nunholm - 03,7
Nunholm - 04,8.5
Oakley East,6
Oakley North,5.7
Oban North - 01,9.4
Oban North - 02,10.9
Oban North - 03,8.3
Oban North - 04,10
Oban South - 01,26.1
Oban South - 02,8.9
Oban South - 03,6.1
Oban South - 04,10
Oban South - 05,9.6
Oban South - 06,8.3
Oban South - 07,3.6
Oban South - 08,5.1
Old Aberdeen - 01,8.7
Old Aberdeen - 02,4.2
Old Aberdeen - 03,6.1
Old Aberdeen - 04,6.3
Old Shettleston and Parkhead North - 01,4.1
Old Shettleston and Parkhead North - 02,5.4
Old Shettleston and Parkhead North - 03,9.3
Old Shettleston and Parkhead North - 04,5.3
Old Shettleston and Parkhead North - 05,5.5
"Old Town, Princes Street and Leith Street - 01",2.9
"Old Town, Princes Street and Leith Street - 02",4.5
"Old Town, Princes Street and Leith Street - 03",6.3
"Old Town, Princes Street and Leith Street - 04",6.8
"Old Town, Princes Street and Leith Street - 05",3.9
"Old Town, Princes Street and Leith Street - 06",5.3
Oldmachar East - 01,5.9
Oldmachar East - 02,7.3
Oldmachar East - 03,8.6
Oldmachar East - 04,7.7
Oldmachar East - 05,7.9
Oldmachar East - 06,6.2
Oldmachar East - 07,9.8
Oldmachar West - 01,6.7
Oldmachar West - 02,8.3
Oldmachar West - 03,7.6
Oldmachar West - 04,8.3
Oldmachar West - 05,8.2
Oldmachar West - 06,6.1
Orbiston - 01,18.7
Orbiston - 02,14.7
Orbiston - 03,18.1
Orbiston - 04,20.7
Orbiston - 05,22.9
Orbiston - 06,16.7
Orbiston - 07,15.2
Oriel and Forth,5.7
Ormiston - 01,9.2
Ormiston - 02,9.1
Ormiston - 03,8.7
Ormiston - 04,13.1
Overton,8.9
Overtown - 01,12.3
Overtown - 02,13.4
Overtown - 03,11.2
Overtown - 04,11.9
Overtown - 05,11
Overtown - 06,12.4
Oxgangs - 01,6.7
Oxgangs - 02,6.7
Oxgangs - 03,8.9
Oxgangs - 04,7.4
Oxnam and Camptown Area,21.8
Oxton and Area,19.8
Paisley Central - 01,8.1
Paisley Central - 02,6.1
Paisley Central - 03,4.1
Paisley Central - 04,2.3
Paisley Central - 05,7.6
Paisley Central - 06,6.6
Paisley Central - 07,5.6
Paisley Central - 08,7.5
Paisley Dykebar - 01,11.5
Paisley Dykebar - 02,13
Paisley Dykebar - 03,16.2
Paisley Dykebar - 04,15.2
Paisley Dykebar - 05,15.5
Paisley East - 01,10
Paisley East - 02,7.2
Paisley East - 03,10.3
Paisley East - 04,7.9
Paisley East - 05,9
Paisley East - 06,7.1
Paisley Ferguslie - 01,10.6
Paisley Ferguslie - 02,5
Paisley Ferguslie - 03,7.8
Paisley Ferguslie - 04,9.5
Paisley Ferguslie - 05,4.5
Paisley Ferguslie - 06,5.5
Paisley Ferguslie - 07,6.3
Paisley Foxbar - 01,15.9
Paisley Foxbar - 02,18.4
Paisley Foxbar - 03,20.5
Paisley Foxbar - 04,24.1
Paisley Foxbar - 05,23.5
Paisley Foxbar - 06,20.5
Paisley Foxbar - 07,18
Paisley Gallowhill and Hillington - 01,6.7
Paisley Gallowhill and Hillington - 02,10.5
Paisley Gallowhill and Hillington - 03,9.1
Paisley Gallowhill and Hillington - 04,9.6
Paisley Gallowhill and Hillington - 05,11.8
Paisley Gallowhill and Hillington - 06,14.2
Paisley Gallowhill and Hillington - 07,12.2
Paisley Glenburn East - 01,7.1
Paisley Glenburn East - 02,6.6
Paisley Glenburn East - 03,3.7
Paisley Glenburn East - 04,5.1
Paisley Glenburn West - 01,10.3
Paisley Glenburn West - 02,11.3
Paisley Glenburn West - 03,12
Paisley Glenburn West - 04,8.8
Paisley Glenburn West - 05,7.1
Paisley North - 01,3.2
Paisley North - 02,3.6
Paisley North - 03,5.9
Paisley North - 04,5.6
Paisley North - 05,8.5
Paisley North - 06,11.1
Paisley North East - 01,4.2
Paisley North East - 02,4.9
Paisley North East - 03,4.3
Paisley North East - 04,4.9
Paisley North East - 05,5.4
Paisley North East - 06,9.8
Paisley North East - 07,11
Paisley North West - 01,5.9
Paisley North West - 02,3.7
Paisley North West - 03,4.8
Paisley North West - 04,9.1
Paisley Ralston - 01,9.8
Paisley Ralston - 02,7.8
Paisley Ralston - 03,9.9
Paisley Ralston - 04,10.2
Paisley Ralston - 05,9.8
Paisley South - 01,5.7
Paisley South - 02,6.9
Paisley South - 03,9.1
Paisley South - 04,8.9
Paisley South East - 01,5.1
Paisley South East - 02,6
Paisley South East - 03,5.4
Paisley South East - 04,7.9
Paisley South East - 05,7.7
Paisley South East - 06,9.8
Paisley South East - 07,9.2
Paisley South West - 01,14.2
Paisley South West - 02,15.6
Paisley South West - 03,13.4
Paisley South West - 04,12.6
Paisley South West - 05,12.7
Paisley South West - 06,10.2
Paisley South West - 07,8.9
Paisley West - 01,10.8
Paisley West - 02,12.4
Paisley West - 03,13
Paisley West - 04,14.8
Paisley West - 05,15.3
Paisley West - 06,12.8
Paisley West - 07,15.3
Parkhead and Sighthill - 01,7.4
Parkhead and Sighthill - 02,9.8
Parkhead and Sighthill - 03,9.8
Parkhead and Sighthill - 04,11.8
Parkhead East and Braidfauld North - 01,5.4
Parkhead East and Braidfauld North - 02,6.4
Parkhead East and Braidfauld North - 03,5.9
Parkhead East and Braidfauld North - 04,4.5
Parkhead East and Braidfauld North - 05,2.9
Parkhead West and Barrowfield - 01,3
Parkhead West and Barrowfield - 02,4.9
Parkhead West and Barrowfield - 03,4.1
Parkhead West and Barrowfield - 04,2
Parkhead West and Barrowfield - 05,8.5
Parkhead West and Barrowfield - 06,10
Parkhead West and Barrowfield - 07,5.2
Partick - 01,2.8
Partick - 02,5.2
Partick - 03,3.7
Partick - 04,2.2
Partickhill and Hyndland - 01,3.9
Partickhill and Hyndland - 02,4.9
Partickhill and Hyndland - 03,5.3
Partickhill and Hyndland - 04,5.3
Partickhill and Hyndland - 05,4
Partickhill and Hyndland - 06,3.3
Pather - 01,8.8
Pather - 02,5.8
Pather - 03,7.1
Pather - 04,8.6
Pather - 05,8.4
Pathhead and Rural East Midlothian - 01,11.9
Pathhead and Rural East Midlothian - 02,14
Pathhead and Rural East Midlothian - 03,16.2
Pathhead and Rural East Midlothian - 04,17
Pathhead and Rural East Midlothian - 05,6.8
Pathhead and Rural East Midlothian - 06,15.6
Pathhead and Rural East Midlothian - 07,20.2
Pathhead Central,5.9
Pathhead North West,6.5
Pathhead South and Sands,3.9
Pattiesmuir,8.7
Peat Inn and Dunino,21.2
Peebles - N - Connor St,8.7
Peebles - N - Cuddyside,4.4
Peebles - N - Eastgate,6.6
Peebles - N - March St,5.2
Peebles - S - Caledonian-Springhill,9.2
Peebles - S - Calvalry Park,18.7
Peebles - S - Edderston Rd,14.2
Peebles - S - Gallow Hill,17
Peebles - S - Victoria Park,14.6
Peebles North - Dalatho,12.3
Penicuik East - 01,5
Penicuik East - 02,4.6
Penicuik East - 03,7.8
Penicuik East - 04,7.6
Penicuik North - 01,15.8
Penicuik North - 02,10.2
Penicuik North - 03,15.5
Penicuik North - 04,14.9
Penicuik North - 05,14.8
Penicuik Southeast - 01,8.4
Penicuik Southeast - 02,9.1
Penicuik Southeast - 03,5.7
Penicuik Southeast - 04,8.6
Penicuik Southeast - 05,7.8
Penicuik Southwest - 01,11.8
Penicuik Southwest - 02,10.2
Penicuik Southwest - 03,11.8
Penicuik Southwest - 04,13.9
Penicuik Southwest - 05,12.4
Penicuik Southwest - 06,8.1
Penilee - 01,8.7
Penilee - 02,11.1
Penilee - 03,8.5
Penilee - 04,6.5
Penilee - 05,8
Penilee - 06,9.9
Penilee - 07,7.2
Pentland - 01,11.4
Pentland - 02,14.4
Pentland - 03,16.5
Perth Road - 01,7.5
Perth Road - 02,6.4
Perth Road - 03,5.9
Perth Road - 04,4.4
Perth Road - 05,5.3
Perth Road - 06,6.4
Peterhead Bay - 01,7.9
Peterhead Bay - 02,6.5
Peterhead Bay - 03,4.3
Peterhead Harbour - 01,16.9
Peterhead Harbour - 02,17
Peterhead Harbour - 03,13.5
Peterhead Harbour - 04,7.9
Peterhead Harbour - 05,6.5
Peterhead Harbour - 06,6.6
Peterhead Harbour - 07,9.8
Peterhead Harbour - 08,14.2
Peterhead Links - 01,9.3
Peterhead Links - 02,6.2
Peterhead Links - 03,7.8
Peterhead Links - 04,9.6
Peterhead Links - 05,9.3
Peterhead Links - 06,9.9
Peterhead Ugieside - 01,22.8
Peterhead Ugieside - 02,16.2
Peterhead Ugieside - 03,14
Peterhead Ugieside - 04,15.8
Peterhead Ugieside - 05,13.5
Peterhead Ugieside - 06,18.3
Petersburn - 01,11.8
Petersburn - 02,13.2
Petersburn - 03,13.2
Petersburn - 04,14.7
Petersburn - 05,15
Petersburn - 06,12.1
Petershill - 01,7.1
Petershill - 02,8.7
Petershill - 03,8.6
Petershill - 04,7.3
Petershill - 05,6.1
Petershill - 06,4.7
Piersland - 01,5.4
Piersland - 02,7.1
Piersland - 03,5.7
Piersland - 04,4.6
Piersland - 05,5.4
Pilrig - 01,9.3
Pilrig - 02,6.2
Pilrig - 03,6.9
Pilrig - 04,6.6
Pinkie Braes - 01,10.7
Pinkie Braes - 02,11.4
Pinkie Braes - 03,12.8
Pitbauchlie and Pitcorthie North West,5.2
Pitbauchlie West,3.2
Pitcairn,10.9
Pitcorthie Central,8.7
Pitcorthie East,9.4
Pitcorthie North,8.3
Pitcorthie North East,8.1
Pitcorthie North West,6.3
Pitcorthie West,6.9
Pitcoudie,10.3
Pitlochry - 01,23.6
Pitlochry - 02,11.5
Pitlochry - 03,11.5
Pitlochry - 04,15.9
Pitreavie,6.1
Pitreavie Castle East and Heathery,11.2
Pitreavie Castle West,11.4
Pittencrieff,12.7
Pittenweem East,4.9
Pittenweem West,5.3
Pitteuchar Central,6.8
Pitteuchar North East,6.8
Pitteuchar South,6
Pitteuchar South East,7.2
Pitteuchar West,7.4
Pitteuchar Woods,11.6
Plean and Rural SE - 01,18.7
Plean and Rural SE - 02,4.7
Plean and Rural SE - 03,5.2
Plean and Rural SE - 04,9.7
Point - 01,11
Point - 02,19.6
Point - 03,27.5
Point - 04,32.6
Pollok North and East - 01,5.4
Pollok North and East - 02,7.8
Pollok North and East - 03,6.3
Pollok North and East - 04,8.5
Pollok North and East - 05,7.2
Pollok North and East - 06,9.7
Pollok North and East - 07,6.9
Pollok South and West - 01,8.7
Pollok South and West - 02,7.6
Pollok South and West - 03,4.8
Pollok South and West - 04,6
Pollok South and West - 05,8.8
Pollok South and West - 06,8.1
Pollok South and West - 07,7.3
Pollokshaws - 01,5.5
Pollokshaws - 02,5.9
Pollokshaws - 03,3.6
Pollokshaws - 04,4
Pollokshaws - 05,8.6
Pollokshaws - 06,9.3
Pollokshields East - 01,2.5
Pollokshields East - 02,4.3
Pollokshields East - 03,3.2
Pollokshields East - 04,4.5
Pollokshields East - 05,2.7
Pollokshields East - 06,2.8
Pollokshields West - 01,3.4
Pollokshields West - 02,7.2
Pollokshields West - 03,5.1
Pollokshields West - 04,2.6
Pollokshields West - 05,8.7
Pollokshields West - 06,8.7
Polmont - 01,10.8
Polmont - 02,9.9
Polmont - 03,7.4
Polmont - 04,12.4
Polmont - 05,10
Polmont - 06,12.6
Polwarth - 01,1.9
Polwarth - 02,4.4
Polwarth - 03,5.5
Polwarth - 04,3.9
Polwarth - 05,7.9
Polwarth - 06,5.4
"Port Glasgow Mid, East and Central - 01",7
"Port Glasgow Mid, East and Central - 02",7.3
"Port Glasgow Mid, East and Central - 03",6.1
"Port Glasgow Mid, East and Central - 04",7.7
"Port Glasgow Mid, East and Central - 05",11.3
"Port Glasgow Mid, East and Central - 06",13.4
"Port Glasgow Mid, East and Central - 07",6.7
Port Glasgow Upper East - 01,4.6
Port Glasgow Upper East - 02,4.6
Port Glasgow Upper East - 03,5.4
Port Glasgow Upper East - 04,5.5
Port Glasgow Upper East - 05,10
Port Glasgow Upper East - 06,12.5
Port Glasgow Upper East - 07,13.9
"Port Glasgow Upper, West and Central - 01",14.6
"Port Glasgow Upper, West and Central - 02",11
"Port Glasgow Upper, West and Central - 03",10.8
"Port Glasgow Upper, West and Central - 04",6.6
"Port Glasgow Upper, West and Central - 05",4.9
"Port Glasgow Upper, West and Central - 06",5.9
"Port Glasgow Upper, West and Central - 07",10.5
"Port Glasgow Upper, West and Central - 08",7.4
"Port Glasgow Upper, West and Central - 09",8.9
Portlethen - 01,9.6
Portlethen - 02,11.3
Portlethen - 03,10.4
Portlethen - 04,9.5
Portlethen - 05,10.1
Portlethen - 06,9.1
Portobello - 01,3.2
Portobello - 02,4.2
Portobello - 03,4.8
Portobello - 04,5.6
Portobello - 05,4.2
Portobello - 06,5.9
"Portsoy, Fordyce and Cornhill - 01",10.8
"Portsoy, Fordyce and Cornhill - 02",25.3
"Portsoy, Fordyce and Cornhill - 03",8
"Portsoy, Fordyce and Cornhill - 04",5.2
Possil Park - 01,3
Possil Park - 02,8.4
Possil Park - 03,7.5
Possil Park - 04,5.8
Possil Park - 05,10.5
Possil Park - 06,6.1
Possil Park - 07,11.4
"Powmill, Cleish and Scotlandwell - 01",20.5
"Powmill, Cleish and Scotlandwell - 02",10.6
"Powmill, Cleish and Scotlandwell - 03",14.8
"Powmill, Cleish and Scotlandwell - 04",19.8
"Powmill, Cleish and Scotlandwell - 05",23.3
Preston and Manderston Area,20.5
Prestonfield - 01,7
Prestonfield - 02,5
Prestonfield - 03,7.3
Prestonfield - 04,2.7
Prestonhall,7.8
Prestonpans East - 01,4.5
Prestonpans East - 02,4.5
Prestonpans East - 03,5.1
Prestonpans East - 04,7
Prestonpans East - 05,6.3
Prestonpans East - 06,6.7
Prestonpans West - 01,6.1
Prestonpans West - 02,5.7
Prestonpans West - 03,6.8
Prestonpans West - 04,8
Prestonpans West - 05,5.7
Prestonpans West - 06,7.7
Prestonpans West - 07,6.7
Prestwick Airport and Monkton - 01,11.8
Prestwick Airport and Monkton - 02,13.1
Prestwick Airport and Monkton - 03,8.1
Prestwick Airport and Monkton - 04,6.6
Prestwick East - 01,3.9
Prestwick East - 02,5.9
Prestwick East - 03,9
Prestwick East - 04,9
Prestwick East - 05,8.8
Prestwick East - 06,12.5
Prestwick East - 07,13.6
Prestwick West - 01,4.6
Prestwick West - 02,5.1
Prestwick West - 03,8.9
Prestwick West - 04,4.5
Prestwick West - 05,7.5
Prestwick West - 06,10
Pumpherston and Uphall Station - 01,16.3
Pumpherston and Uphall Station - 02,17.2
Pumpherston and Uphall Station - 03,13.6
Pumpherston and Uphall Station - 04,15.2
Queen Margaret Fauld,9.8
Queen Margaret Hospital,5
Queensferry East - 01,7.1
Queensferry East - 02,7.4
Queensferry East - 03,7
Queensferry East - 04,6.6
Queensferry East - 05,7.4
Queensferry East - 06,4.3
Queensferry West - 01,5.7
Queensferry West - 02,7
Queensferry West - 03,10.8
Queensferry West - 04,9.1
Queensferry West - 05,9.9
"Rafford, Dallas, Dyke to Dava - 01",24.6
"Rafford, Dallas, Dyke to Dava - 02",34.6
"Rafford, Dallas, Dyke to Dava - 03",14.2
"Rafford, Dallas, Dyke to Dava - 04",39.9
Raith,15.7
Raith and Long Braes,14.5
Raith Estate and Southerton,9.6
Rannoch and Aberfeldy - 01,22
Rannoch and Aberfeldy - 02,5.4
Rannoch and Aberfeldy - 03,10.4
Rannoch and Aberfeldy - 04,42.9
Rannoch and Aberfeldy - 05,66.4
Rannoch and Aberfeldy - 06,30.2
Raploch - 01,11.3
Raploch - 02,7.7
Raploch - 03,9.1
Raploch - 04,6.7
"Ratho, Ingliston and Gogar - 01",14.6
"Ratho, Ingliston and Gogar - 02",4.3
"Ratho, Ingliston and Gogar - 03",4.4
"Ratho, Ingliston and Gogar - 04",11
Ravenscraig,7.5
Redcraigs,14.8
Redding - 01,14.2
Redding - 02,7.1
Redding - 03,8.8
Redding - 04,5.7
Reddingmuirhead and Overton - 01,17.7
Reddingmuirhead and Overton - 02,17.9
Reddingmuirhead and Overton - 03,10.1
Reddingmuirhead and Overton - 04,15.2
Renfrew East - 01,21
Renfrew East - 02,20.5
Renfrew East - 03,22.2
Renfrew East - 04,15.4
Renfrew East - 05,14.8
Renfrew East - 06,9.8
Renfrew East - 07,9
Renfrew East - 08,6.4
Renfrew North - 01,10
Renfrew North - 02,4.6
Renfrew North - 03,5.3
Renfrew North - 04,4
Renfrew North - 05,9.2
Renfrew North - 06,6.1
Renfrew South - 01,10.2
Renfrew South - 02,9.8
Renfrew South - 03,12.9
Renfrew South - 04,15.8
Renfrew South - 05,14.4
Renfrew South - 06,10.8
Renfrew West - 01,11.6
Renfrew West - 02,11
Renfrew West - 03,7.8
Renfrew West - 04,8.4
Renfrew West - 05,8.4
Renfrew West - 06,15.8
Renfrew West - 07,12.4
Renfrew West - 08,12.1
Renfrew West - 09,9.6
Renfrewshire Rural North and Langbank - 01,10.5
Renfrewshire Rural North and Langbank - 02,13.8
Renfrewshire Rural North and Langbank - 03,17.5
Renfrewshire Rural North and Langbank - 04,10.6
Renfrewshire Rural North and Langbank - 05,24.3
Renfrewshire Rural South and Howwood - 01,14.8
Renfrewshire Rural South and Howwood - 02,15.3
Renfrewshire Rural South and Howwood - 03,13.5
Renfrewshire Rural South and Howwood - 04,16.1
Renfrewshire Rural South and Howwood - 05,15
Restalrig (Loganlea) and Craigentinny West - 01,6.7
Restalrig (Loganlea) and Craigentinny West - 02,6.3
Restalrig (Loganlea) and Craigentinny West - 03,6.7
Restalrig (Loganlea) and Craigentinny West - 04,9.3
Restalrig (Loganlea) and Craigentinny West - 05,8.7
Restalrig and Lochend - 01,8.1
Restalrig and Lochend - 02,9.1
Restalrig and Lochend - 03,7.5
Restalrig and Lochend - 04,7.7
Restalrig and Lochend - 05,4.3
Restalrig and Lochend - 06,6.1
Reston and Coldingham Moor Area,33.4
Rhins North - 01,31.3
Rhins North - 02,24.1
Rhins North - 03,27.6
Rhins North - 04,17.9
Rhins North - 05,14.3
Rhins South - 01,14.4
Rhins South - 02,16.7
Rhins South - 03,10.3
Riddrie and Hogganfield - 01,3.1
Riddrie and Hogganfield - 02,6.8
Riddrie and Hogganfield - 03,7.5
Riddrie and Hogganfield - 04,8.7
Riddrie and Hogganfield - 05,4.9
Riddrie and Hogganfield - 06,4
Riddrie and Hogganfield - 07,9.3
Rimbleton East,10.5
Rimbleton North,7.1
Rimbleton West,6.2
Robroyston and Millerston - 01,8.9
Robroyston and Millerston - 02,16.9
Robroyston and Millerston - 03,15
Robroyston and Millerston - 04,12.6
Robroyston and Millerston - 05,11.6
Robroyston and Millerston - 06,12.3
Robroyston and Millerston - 07,10.8
Robroyston and Millerston - 08,11.2
Rosebank and Waterside - 01,12.9
Rosebank and Waterside - 02,12.7
Rosebank and Waterside - 03,14.4
Rosebank and Waterside - 04,18.7
Rosehearty and Strathbeg - 01,21.4
Rosehearty and Strathbeg - 02,32
Rosehearty and Strathbeg - 03,24.7
Rosehearty and Strathbeg - 04,29.9
Rosehearty and Strathbeg - 05,22
Rosehearty and Strathbeg - 06,27.7
Rosehearty and Strathbeg - 07,13.4
Rosehearty and Strathbeg - 08,20.8
Rosehearty and Strathbeg - 09,19.4
Rosemount - 01,4.7
Rosemount - 02,5
Rosemount - 03,4.3
Rosemount - 04,2.9
Rosemount - 05,3.9
Rosemount - 06,4.7
Rosemount - 07,5.4
Roslin and Bilston - 01,6
Roslin and Bilston - 02,6.1
Roslin and Bilston - 03,5
Roslin and Bilston - 04,16.6
Roslin and Bilston - 05,11.6
Ross and Cromarty Central - 01,27.6
Ross and Cromarty Central - 02,8.7
Ross and Cromarty Central - 03,22.9
Ross and Cromarty Central - 04,40.1
Ross and Cromarty East - 01,27
Ross and Cromarty East - 02,31.4
Ross and Cromarty East - 03,20.6
Ross and Cromarty East - 04,44.6
Ross and Cromarty North West - 01,7.6
Ross and Cromarty North West - 02,39.4
Ross and Cromarty North West - 03,8.2
Ross and Cromarty North West - 04,39.9
Ross and Cromarty North West - 05,12.6
Ross and Cromarty South West - 01,34.5
Ross and Cromarty South West - 02,20.2
Ross and Cromarty South West - 03,25.5
Ross and Cromarty South West - 04,19
Rosyth Camdean,6.5
Rosyth Dockyard and Castle,14.4
Rosyth Kings East,3.5
Rosyth Kings North,6.2
Rosyth Kings South,7.4
Rosyth Pease Hill East,13.6
Rosyth Pease Hill North,17.2
Rosyth Pease Hill South,16.6
Rosyth Wilderness East,8.4
Rosyth Wilderness North,6.9
Rothesay Town - 01,9
Rothesay Town - 02,8.7
Rothesay Town - 03,6.4
Rothesay Town - 04,6.2
Rothesay Town - 05,3.9
Rothesay Town - 06,5.7
Rothesay Town - 07,6.7
Roxburgh Heiton Eckford Area,22.9
"Roystonhill, Blochairn, and Provanmill - 01",6.9
"Roystonhill, Blochairn, and Provanmill - 02",9.7
"Roystonhill, Blochairn, and Provanmill - 03",9.8
"Roystonhill, Blochairn, and Provanmill - 04",10.7
"Roystonhill, Blochairn, and Provanmill - 05",11.8
"Roystonhill, Blochairn, and Provanmill - 06",12.7
Ruchill - 01,10.4
Ruchill - 02,9.4
Ruchill - 03,5.4
Ruchill - 04,10
Ruchill - 05,9.3
Ruchill - 06,8.4
Ruchill - 07,8.4
Ruchill - 08,7.2
Rural Keith and Strathisla - 01,17.6
Rural Keith and Strathisla - 02,29.5
Rural Keith and Strathisla - 03,12.6
Rural Keith and Strathisla - 04,30.3
Rural Keith and Strathisla - 05,32.4
Rural South Midlothian - 01,20.2
Rural South Midlothian - 02,23.7
Rural South Midlothian - 03,21.1
Rural South Midlothian - 04,26.1
Saline North,13.5
Saline South,11.4
Saltcoats Central - 01,8.7
Saltcoats Central - 02,7.6
Saltcoats Central - 03,4.9
Saltcoats Central - 04,3.6
Saltcoats Central - 05,8.7
Saltcoats North East - 01,9.7
Saltcoats North East - 02,13.3
Saltcoats North East - 03,14.4
Saltcoats North East - 04,13.1
Saltcoats North East - 05,13.3
Saltcoats North East - 06,12.2
Saltcoats North West - 01,12.3
Saltcoats North West - 02,12.4
Saltcoats North West - 03,16.3
Saltcoats North West - 04,10.5
Saltcoats North West - 05,9.6
Saltcoats North West - 06,7
Sauchie - 01,9.8
Sauchie - 02,7.1
Sauchie - 03,6.1
Sauchie - 04,7.2
Sauchie - 05,9.8
Sauchie - 06,8.9
Sauchie - 07,4.9
Scone - 01,3.6
Scone - 02,7
Scone - 03,4.3
Scone - 04,7.7
Scone - 05,9.9
Scone - 06,8
Scone - 07,8.1
Scoonie South,4.6
Scotstoun North and East - 01,5.2
Scotstoun North and East - 02,8
Scotstoun North and East - 03,3.2
Scotstoun North and East - 04,4.9
Scotstoun North and East - 05,6.3
Scotstoun South and West - 01,4
Scotstoun South and West - 02,2.3
Scotstoun South and West - 03,3.8
Scotstoun South and West - 04,3.4
Scotstoun South and West - 05,2.4
Seaboard - 01,26.1
Seaboard - 02,19.4
Seaboard - 03,38.5
Seaboard - 04,23.9
Seaboard - 05,42.6
Seaboard - 06,25.5
Seafar - 01,10.5
Seafar - 02,13
Seafar - 03,5.6
Seafar - 04,9.3
Seafar - 05,14.4
Seafield - 01,8.4
Seafield - 02,9.3
Seafield - 03,7.9
Seafield Central,10
Seafield South and Landward,12.6
Seaton - 01,7.4
Seaton - 02,6.4
Seaton - 03,5.1
Seaton - 04,4.6
Seaton - 05,5.1
Selkirk - Bannerfield,12.6
Selkirk - Dunsdale,10.9
Selkirk - Heatherlie,8.8
Selkirk - Hillside Terrace,10.4
Selkirk - Shawburn,7.5
Selkirk - Shawpark,6.5
Selkirk - Town Centre,6.1
Shandon - 01,7.1
Shandon - 02,4.9
Shandon - 03,7.1
Shandon - 04,6.5
Shandon - 05,6.3
Shandon - 06,4.4
Shawfair - 01,12
Shawfair - 02,5.3
Shawfair - 03,3.5
Shawfair - 04,7.4
Shawfair - 05,11.2
Shawfield and Clincarthill - 01,3.8
Shawfield and Clincarthill - 02,4.6
Shawfield and Clincarthill - 03,4.3
Shawfield and Clincarthill - 04,5.4
Shawfield and Clincarthill - 05,7.1
Shawhead - 01,16.8
Shawhead - 02,35.9
Shawhead - 03,15.3
Shawhead - 04,12.3
Shawhead and Whifflet - 01,14.5
Shawhead and Whifflet - 02,12
Shawhead and Whifflet - 03,14.7
Shawhead and Whifflet - 04,16.8
Shawlands East - 01,5.3
Shawlands East - 02,3
Shawlands East - 03,3.8
Shawlands East - 04,2.5
Shawlands West - 01,3.6
Shawlands West - 02,3.7
Shawlands West - 03,4
Shawlands West - 04,2.8
Sheddocksley - 01,7.5
Sheddocksley - 02,10.8
Sheddocksley - 03,14.9
Sheddocksley - 04,13.5
Sheddocksley - 05,7.4
Sheddocksley - 06,5.1
Shetland South - 01,33.5
Shetland South - 02,25.8
Shetland South - 03,14.4
Shetland South - 04,25.2
Shettleston North - 01,3.1
Shettleston North - 02,7.7
Shettleston North - 03,4.1
Shettleston North - 04,3.4
Shettleston North - 05,2.9
Shettleston South - 01,6.7
Shettleston South - 02,10.3
Shettleston South - 03,3.6
Shettleston South - 04,5.5
Shettleston South - 05,6.8
Shieldhill - 01,14.2
Shieldhill - 02,15.4
Shieldhill - 03,17.7
Shortlees - 01,23
Shortlees - 02,19
Shortlees - 03,14.4
Shortlees - 04,16.3
Shortlees - 05,19.1
Shortlees - 06,20.7
Shotts - 01,6
Shotts - 02,5.2
Shotts - 03,6.8
Shotts - 04,7
Shotts - 05,6.1
Sighthill - 01,4.9
Sighthill - 02,7.9
Sighthill - 03,11.5
Silverknowes and Davidson's Mains - 01,11.5
Silverknowes and Davidson's Mains - 02,5.7
Silverknowes and Davidson's Mains - 03,5.4
