2011Zones,Public Transport Mean Indicator Minutes
Balornock - 01,5.1
Balornock - 02,7.4
Balornock - 03,4
Balornock - 04,4.5
Balornock - 05,5.6
Banchory East - 01,15.8
Banchory East - 02,9.4
Banchory East - 03,18.8
Banchory East - 04,10.7
Banchory East - 05,14.2
Banchory East - 06,18.3
Banchory West - 01,6.2
Banchory West - 02,10.5
Banchory West - 03,9
Banchory West - 04,12.1
Banchory-Devenick and Findon - 01,23.9
Banchory-Devenick and Findon - 02,16
Banchory-Devenick and Findon - 03,13.9
Banchory-Devenick and Findon - 04,6.4
Banchory-Devenick and Findon - 05,18.4
Banff - 01,5.4
Banff - 02,9.2
Banff - 03,5.8
Banff - 04,9.6
Banff - 05,13
Bankhead South - 01,7.8
Bankhead South - 02,5.1
Bankhead South - 03,5.2
Bankhead South - 04,7.4
"Banknock, Haggs and Longcroft - 01",10.2
"Banknock, Haggs and Longcroft - 02",6.1
"Banknock, Haggs and Longcroft - 03",4.1
"Banknock, Haggs and Longcroft - 04",7.7
"Banknock, Haggs and Longcroft - 05",4.6
"Banknock, Haggs and Longcroft - 06",9.8
Bankton and Murieston - 01,13.2
Bankton and Murieston - 02,10.4
Bankton and Murieston - 03,12
Bankton and Murieston - 04,8.6
Bankton and Murieston - 05,5.7
Bankton and Murieston - 06,9.6
Bankton and Murieston - 07,8.7
Bannockburn - 01,12
Bannockburn - 02,7.9
Bannockburn - 03,10.5
Bannockburn - 04,6.9
Bannockburn - 05,7.7
Barassie - 01,13.3
Barassie - 02,7.1
Barassie - 03,6.3
Barassie - 04,8.8
Barassie - 05,7.3
Barassie - 06,5.7
Barlanark - 01,15.5
Barlanark - 02,13.3
Barlanark - 03,11.2
Barlanark - 04,9.7
Barlanark - 05,9.7
Barlanark - 06,15
Barlanark - 07,13.7
Barlanark - 08,12.8
Barloch - 01,9.6
Barloch - 02,11.1
Barloch - 03,11
Barloch - 04,8.4
Barmulloch - 01,7.3
Barmulloch - 02,5.6
Barmulloch - 03,5.7
Barmulloch - 04,7.6
Barnhill - 01,9.3
Barnhill - 02,11.1
Barnhill - 03,9.8
Barnhill - 04,11.1
Barnhill - 05,12.1
Barnhill - 06,15.6
"Barnton, Cammo and Cramond South - 01",8.4
"Barnton, Cammo and Cramond South - 02",16
"Barnton, Cammo and Cramond South - 03",9.8
"Barnton, Cammo and Cramond South - 04",12.4
Barra and South Uist - 01,7.6
Barra and South Uist - 02,18.8
Barra and South Uist - 03,20.5
Barra and South Uist - 04,11.4
Barra and South Uist - 05,40.9
Barrahill - 01,7
Barrahill - 02,8.8
Barrahill - 03,6.3
Barrahill - 04,10.8
Barrahill - 05,15.6
Barrahill - 06,18.6
Bathgate and Boghall - 01,13.1
Bathgate and Boghall - 02,14.3
Bathgate and Boghall - 03,15
Bathgate and Boghall - 04,15.1
Bathgate and Boghall - 05,16.6
Bathgate and Boghall - 06,18.8
Bathgate East - 01,9.8
Bathgate East - 02,14.7
Bathgate East - 03,8.3
Bathgate East - 04,8
Bathgate East - 05,9.1
Bathgate East - 06,12.3
Bathgate East - 07,11.2
Bathgate East - 08,13
Bathgate East - 09,18.8
Bathgate West - 01,5.1
Bathgate West - 02,8.8
Bathgate West - 03,11.3
Bathgate West - 04,9.6
Bathgate West - 05,10.8
Bathgate West - 06,8.6
Bathgate West - 07,11.2
Bathgate West - 08,19.5
Bathgate West - 09,13.5
"Bathgate, Wester Inch and Inchcross - 01",6.1
"Bathgate, Wester Inch and Inchcross - 02",9.9
"Bathgate, Wester Inch and Inchcross - 03",8.8
"Bathgate, Wester Inch and Inchcross - 04",8.8
"Bathgate, Wester Inch and Inchcross - 05",9.5
Battlefield - 01,6.1
Battlefield - 02,4.3
Battlefield - 03,3.4
Battlefield - 04,7.6
Battlefield - 05,8
Battlefield - 06,3.9
Baxter Park - 01,3.3
Baxter Park - 02,7.7
Baxter Park - 03,6.3
Baxter Park - 04,4.9
Beath South West,8.1
Beath Woodend,8.4
Beechwood,9.7
Beith East and Rural - 01,2.6
Beith East and Rural - 02,6.8
Beith East and Rural - 03,5.3
Beith East and Rural - 04,5.8
Beith East and Rural - 05,19.6
Beith West - 01,4.5
Beith West - 02,5.4
Beith West - 03,6.8
Beith West - 04,3.6
Bellfield and Kirkstyle - 01,21
Bellfield and Kirkstyle - 02,20.8
Bellfield and Kirkstyle - 03,17
Bellfield and Kirkstyle - 04,15.2
Bellfield and Kirkstyle - 05,15.9
Bellshill Central - 01,8.7
Bellshill Central - 02,9.1
Bellshill Central - 03,9.7
Bellshill Central - 04,9.7
Bellshill South - 01,16.2
Bellshill South - 02,11
Bellshill South - 03,9.2
Bellshill South - 04,4.1
Bellshill South - 05,12.8
Bellshill South - 06,10.7
"Bellsquarry, Adambrae and Kirkton - 01",15.6
"Bellsquarry, Adambrae and Kirkton - 02",8.6
"Bellsquarry, Adambrae and Kirkton - 03",17.9
"Bellsquarry, Adambrae and Kirkton - 04",14.3
"Bellsquarry, Adambrae and Kirkton - 05",13.2
"Bellsquarry, Adambrae and Kirkton - 06",10.8
"Bellsquarry, Adambrae and Kirkton - 07",13.1
Bellyeoman North and Townhill Landward,8
Bellyeoman South,9
Bellyeoman South West,5.8
Belmont - 01,6.5
Belmont - 02,9.3
Belmont - 03,7.2
Belmont - 04,5.9
Belmont - 05,5.8
Belmont - 06,7.3
Belmont - 07,11.4
Benbecula and North Uist - 01,13.8
Benbecula and North Uist - 02,17
Benbecula and North Uist - 03,43.1
Benbecula and North Uist - 04,19.2
Benderloch Trail - 01,13.9
Benderloch Trail - 02,12.7
Benderloch Trail - 03,24.3
Benderloch Trail - 04,64
Benderloch Trail - 05,20.9
Benderloch Trail - 06,9.7
Benderloch Trail - 07,25.1
Bennochy Balfour,7.4
Bennochy East,8.4
Bennochy North,7.7
Bennochy South West,6.2
Bennochy West,7
Beveridgewell East,15.9
Beveridgewell West,19.6
Beveridgewell Western and Parkneuk,17.5
"Biggar, Symington, Thankerton and Dolphinton - 01",22.2
"Biggar, Symington, Thankerton and Dolphinton - 02",19.6
"Biggar, Symington, Thankerton and Dolphinton - 03",7.7
"Biggar, Symington, Thankerton and Dolphinton - 04",13.9
"Biggar, Symington, Thankerton and Dolphinton - 05",10.3
"Biggar, Symington, Thankerton and Dolphinton - 06",22.7
"Biggar, Symington, Thankerton and Dolphinton - 07",19.4
"Bingham, Magdalene and The Christians - 01",4.1
"Bingham, Magdalene and The Christians - 02",5.4
"Bingham, Magdalene and The Christians - 03",5.1
"Bingham, Magdalene and The Christians - 04",9.5
"Bingham, Magdalene and The Christians - 05",9.9
Birgham and Ladykirk Area,11.2
Birkenshaw - 01,12.8
Birkenshaw - 02,15.7
Birkenshaw - 03,11.4
Birkenshaw - 04,13.2
Birkenshaw - 05,15.7
Birkenshaw - 06,11.8
Birkenshaw - 07,15.2
"Birniehill, Kelvin and Whitehills East - 01",14.3
"Birniehill, Kelvin and Whitehills East - 02",14.9
"Birniehill, Kelvin and Whitehills East - 03",16.8
"Birniehill, Kelvin and Whitehills East - 04",9.9
"Birniehill, Kelvin and Whitehills East - 05",12.1
"Birniehill, Kelvin and Whitehills East - 06",7.3
Bishopbriggs North and Kenmure - 01,12.7
Bishopbriggs North and Kenmure - 02,11.8
Bishopbriggs North and Kenmure - 03,14.1
Bishopbriggs North and Kenmure - 04,10.9
Bishopbriggs North and Kenmure - 05,15.3
Bishopbriggs North and Kenmure - 06,9.6
Bishopbriggs North and Kenmure - 07,9.3
Bishopbriggs West and Cadder - 01,12
Bishopbriggs West and Cadder - 02,12.3
Bishopbriggs West and Cadder - 03,10.1
Bishopbriggs West and Cadder - 04,7.1
Bishopbriggs West and Cadder - 05,11.2
Bishopbriggs West and Cadder - 06,8.7
Bishopbriggs West and Cadder - 07,5.9
Bishopbriggs West and Cadder - 08,6.4
Bishopton - 01,6.3
Bishopton - 02,8.1
Bishopton - 03,8.2
Bishopton - 04,6.9
Bishopton - 05,6.8
Bishopton - 06,5.2
Black Isle North - 01,37.5
Black Isle North - 02,34.8
Black Isle North - 03,30.6
Black Isle North - 04,36.4
Black Isle North - 05,6.8
Black Isle South - 01,9.9
Black Isle South - 02,8.5
Black Isle South - 03,7
Black Isle South - 04,11.4
Black Isle South - 05,16.6
Black Isle South - 06,10.6
Black Isle South - 07,19.7
Black Isle South - 08,8
Blackburn - 01,22.1
Blackburn - 01,6.3
Blackburn - 02,22.2
Blackburn - 02,6.8
Blackburn - 03,27.9
Blackburn - 03,7.3
Blackburn - 04,20.6
Blackburn - 04,8.4
Blackburn - 05,5
Blackburn - 06,6.7
Blackburn - 07,6.7
Blackcraigs and West Torbain,13.2
"Blackford, West Mains and Mayfield Road - 01",6.5
"Blackford, West Mains and Mayfield Road - 02",8.5
"Blackford, West Mains and Mayfield Road - 03",9.9
"Blackford, West Mains and Mayfield Road - 04",10.6
"Blackford, West Mains and Mayfield Road - 05",9.6
"Blackford, West Mains and Mayfield Road - 06",10.5
"Blackford, West Mains and Mayfield Road - 07",7.2
"Blackford, West Mains and Mayfield Road - 08",6.3
Blackhall - 01,6.7
Blackhall - 02,4.8
Blackhall - 03,7.6
Blackhall - 04,4.7
Blackhall - 05,7.4
Blackhall - 06,5.3
Blackhall - 07,5
Blackhill and Barmulloch East - 01,6.9
Blackhill and Barmulloch East - 02,8.4
Blackhill and Barmulloch East - 03,5.5
Blackhill and Barmulloch East - 04,8.4
Blackhill and Barmulloch East - 05,6.8
Blackhill and Barmulloch East - 06,7.2
Blackhill and Barmulloch East - 07,8.7
"Blackness, Bo'ness - Carriden and Grahamsdyke - 01",20
"Blackness, Bo'ness - Carriden and Grahamsdyke - 02",5.7
"Blackness, Bo'ness - Carriden and Grahamsdyke - 03",11.7
"Blackness, Bo'ness - Carriden and Grahamsdyke - 04",11.8
"Blackness, Bo'ness - Carriden and Grahamsdyke - 05",8.5
"Blackness, Bo'ness - Carriden and Grahamsdyke - 06",8.5
"Blackridge, Westfield and Torphichen - 01",5.7
"Blackridge, Westfield and Torphichen - 02",6.5
"Blackridge, Westfield and Torphichen - 03",5.3
"Blackridge, Westfield and Torphichen - 04",12.1
"Blackridge, Westfield and Torphichen - 05",22.7
Blaeberry Hill and East Whitburn - 01,8.3
Blaeberry Hill and East Whitburn - 02,16.2
Blaeberry Hill and East Whitburn - 03,13
